Entry	Subcellular location [CC]	Protein names	Gene names	Entry name	Intramembrane	Transmembrane	Topological domain
A0A6M4JEG2		Putative NAD(P)H nitroreductase (EC 1.-.-.-)	HIR78_04700	A0A6M4JEG2_BACSU			
A0A6M3Z8A5		6-phospho-beta-glucosidase GmuD (EC 3.2.1.86)	gmuD HIR78_03330	A0A6M3Z8A5_BACSU			
A0A6M3ZF90		Cysteine desulfurase	HIR78_17235	A0A6M3ZF90_BACSU			
A0A6M4JFA5		Pyruvate oxidase (EC 1.2.3.3)	HIR78_02480	A0A6M4JFA5_BACSU			
A0A6M4JL52	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.	Type VII secretion protein EssB	essB HIR78_18535	A0A6M4JL52_BACSU			
A0A6M3ZB79		DNA translocase SpoIIIE	spoIIIE HIR78_09150	A0A6M3ZB79_BACSU			
A0A6M3ZIU8		Helix-turn-helix transcriptional regulator	HIR78_05010	A0A6M3ZIU8_BACSU			
A0A6M4JDS6		Class I SAM-dependent DNA methyltransferase	HIR78_03850	A0A6M4JDS6_BACSU			
A0A6M4JN73		Reverse transcriptase-like protein	HIR78_13235	A0A6M4JN73_BACSU			
A0A6M3Z9N5		UDP-glucosyltransferase	HIR78_06745	A0A6M3Z9N5_BACSU			
A0A6M4JET5		50S ribosomal protein L15	rplO HIR78_00820	A0A6M4JET5_BACSU			
A0A6M3Z9K6		HAD family phosphatase	HIR78_06155	A0A6M3Z9K6_BACSU			
A0A6M3ZE52		AAA family ATPase	HIR78_15520	A0A6M3ZE52_BACSU			
A0A6M4JJQ7		Uncharacterized protein	HIR78_08270	A0A6M4JJQ7_BACSU			
A0A6M4JMB7		HTH-type transcriptional regulator	gbsR HIR78_18095	A0A6M4JMB7_BACSU			
A0A6M3ZEV5		UPF0297 protein HIR78_16090	HIR78_16090	A0A6M3ZEV5_BACSU			
A0A6M4JR17		VOC family protein	HIR78_23035	A0A6M4JR17_BACSU			
A0A6M4JKG0		ATP-dependent Clp protease ATP-binding subunit ClpX	clpX HIR78_16535	A0A6M4JKG0_BACSU			
A0A6M4JN96	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00473}.	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi HIR78_18260	A0A6M4JN96_BACSU			
A0A6M3ZIP2		YpdA family putative bacillithiol disulfide reductase	ypdA HIR78_13750	A0A6M3ZIP2_BACSU			
A0A6M4JQW0		Iron-hydroxamate ABC transporter substrate-binding protein	HIR78_22570	A0A6M4JQW0_BACSU			
A0A6M4JMF9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	DMT family transporter	HIR78_10205	A0A6M4JMF9_BACSU			
A0A6M3ZHY7	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	YitT family protein	HIR78_22180	A0A6M3ZHY7_BACSU			
A0A6M3ZJX7		Citrate synthase	citZ HIR78_17000	A0A6M3ZJX7_BACSU			
A0A6M4JI49		Uncharacterized protein	HIR78_12625	A0A6M4JI49_BACSU			
A0A6M4JFH2		Lipoprotein	HIR78_02995	A0A6M4JFH2_BACSU			
A0A6M3ZI01		Pentapeptide repeat-containing protein	HIR78_23170	A0A6M3ZI01_BACSU			
A0A6M4JKJ9	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00542}.	Probable butyrate kinase (BK) (EC 2.7.2.7) (Branched-chain carboxylic acid kinase)	buk HIR78_14325	A0A6M4JKJ9_BACSU			
A0A6M3ZDR3		SDR family oxidoreductase	HIR78_14170	A0A6M3ZDR3_BACSU			
A0A6M3ZE90		30S ribosomal protein S20	rpsT HIR78_15075	A0A6M3ZE90_BACSU			
A0A6M4JMB1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00518}.	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase) (EC 3.1.1.-)	dtd HIR78_16200	A0A6M4JMB1_BACSU			
A0A6M3Z6Y0		Glycerophosphodiester phosphodiesterase	HIR78_01310	A0A6M3Z6Y0_BACSU			
A0A6M4JN50		Type I pullulanase (EC 3.2.1.41)	pulA HIR78_17410	A0A6M4JN50_BACSU			
A0A6M3ZBZ5	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Bile acid:sodium symporter family protein	HIR78_10545	A0A6M3ZBZ5_BACSU			
A0A6M3ZIV2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	MFS transporter	HIR78_20950	A0A6M3ZIV2_BACSU			
A0A6M4JJ46		Transition state genes transcriptional regulator AbrB	abrB HIR78_00245	A0A6M4JJ46_BACSU			
A0A6M3Z6T6	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Iron ABC transporter permease	HIR78_01030	A0A6M3Z6T6_BACSU			
A0A6M3ZHU4		Transcriptional antiterminator LicT	licT HIR78_22300	A0A6M3ZHU4_BACSU			
A0A6M3Z766	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Niacin permease NiaP	niaP HIR78_01735	A0A6M3Z766_BACSU			
A0A6M3ZMA6		Excisionase family DNA-binding protein	HIR78_19315	A0A6M3ZMA6_BACSU			
A0A6M3ZGN0		Gamma-glutamyltransferase (EC 2.3.2.2)	ggt HIR78_20745	A0A6M3ZGN0_BACSU			
A0A6M4JI32		NAD(P)-dependent oxidoreductase	HIR78_07695	A0A6M4JI32_BACSU			
A0A6M4JEX1		CdaA regulatory protein CdaR	cdaR HIR78_01130	A0A6M4JEX1_BACSU			
A0A6M3Z989		UPF0374 protein HIR78_04800	HIR78_04800	A0A6M3Z989_BACSU			
A0A6M3ZEB6	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	DNA internalization-related competence protein ComEC/Rec2	HIR78_15095	A0A6M3ZEB6_BACSU			
A0A6M3ZFS2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Multidrug efflux MFS transporter	HIR78_18330	A0A6M3ZFS2_BACSU			
A0A6M3Z8T2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Secreted {ECO:0000256|ARBA:ARBA00004613}.	Lipoteichoic acid synthase	ltaS yflE HIR78_04325	A0A6M3Z8T2_BACSU			
A0A6M3ZH91		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase (EC 2.4.1.187) (N-acetylmannosaminyltransferase) (UDP-N-acetylmannosamine transferase) (UDP-N-acetylmannosamine:N-acetylglucosaminyl pyrophosphorylundecaprenol N-acetylmannosaminyltransferase)	tagA HIR78_20570	A0A6M3ZH91_BACSU			
A0A6M3ZK13		Transcriptional regulator RefZ	refZ HIR78_17255	A0A6M3ZK13_BACSU			
A0A6M3ZEE9	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00050, ECO:0000256|RuleBase:RU000643}.	Elongation factor Ts (EF-Ts)	tsf HIR78_08995	A0A6M3ZEE9_BACSU			
A0A6M4JIW0		Adapter protein MecA	mecA HIR78_13760	A0A6M4JIW0_BACSU			
A0A6M3ZDV3		Uncharacterized protein	HIR78_13700	A0A6M3ZDV3_BACSU			
A0A6M3ZG63	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|RuleBase:RU363032}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Methionine ABC transporter permease MetP	metP HIR78_18980	A0A6M3ZG63_BACSU		TRANSMEM 22..45;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 57..80;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 86..109;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 150..173;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 193..215;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"	
A0A6M3ZAL5		Molybdenum cofactor biosynthesis protein MoaE	HIR78_07875	A0A6M3ZAL5_BACSU			
A0A6M3Z8U3		Uncharacterized protein	HIR78_05095	A0A6M3Z8U3_BACSU			
A0A6M3ZFU3		Fe-S cluster assembly ATPase SufC	sufC HIR78_18960	A0A6M3ZFU3_BACSU			
A0A6M4JI24		LacI family DNA-binding transcriptional regulator	HIR78_07650	A0A6M4JI24_BACSU			
A0A6M3ZDE9		Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	nth HIR78_13435	A0A6M3ZDE9_BACSU			
A0A6M4JHB5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|RuleBase:RU363032}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Oligopeptide ABC transporter permease AppB	appB HIR78_06285	A0A6M4JHB5_BACSU		TRANSMEM 12..30;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 100..120;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 132..161;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 181..199;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 238..264;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 284..310;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"	
A0A6M4JC72		Iron ABC transporter substrate-binding protein FeuA	feuA HIR78_01040	A0A6M4JC72_BACSU			
A0A6M4JQ19		Sporulation transcriptional regulator SpoIIID	spoIIID HIR78_20920	A0A6M4JQ19_BACSU			
A0A6M3Z9C6		Competence transcription factor ComK	comK HIR78_05785	A0A6M3Z9C6_BACSU			
A0A6M3ZD94		Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	moaC HIR78_03425	A0A6M3ZD94_BACSU			
A0A6M4JNR2		Phage portal protein	HIR78_15275	A0A6M4JNR2_BACSU			
A0A6M4JRE7		30S ribosomal protein S5	rpsE HIR78_00810	A0A6M4JRE7_BACSU			
A0A6M4JPH8		Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD HIR78_20120	A0A6M4JPH8_BACSU			
A0A6M3ZFY6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	MFS transporter	HIR78_19190	A0A6M3ZFY6_BACSU			
A0A6M4JMZ9		Gamma-polyglutamate hydrolase PghZ	pghZ HIR78_12410	A0A6M4JMZ9_BACSU			
A0A6M3ZH77		1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	pruA rocA HIR78_21635	A0A6M3ZH77_BACSU			
A0A6M3ZAL4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00224}.	Dihydroorotate dehydrogenase (DHOD) (DHODase) (DHOdehase) (EC 1.3.-.-)	pyrD HIR78_08510	A0A6M3ZAL4_BACSU			
A0A6M3ZDZ1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	YitT family protein	HIR78_14855	A0A6M3ZDZ1_BACSU			
A0A6M3ZJ94		Uncharacterized protein	HIR78_19045	A0A6M3ZJ94_BACSU			
A0A6M4JPQ3		Negative regulator of flagellin synthesis	flgM HIR78_20385	A0A6M4JPQ3_BACSU			
A0A6M3ZHJ9		Uncharacterized protein	HIR78_21470	A0A6M3ZHJ9_BACSU			
A0A6M3ZE17		MTH1187 family thiamine-binding protein	HIR78_14705	A0A6M3ZE17_BACSU			
A0A6M4JFF8		Peptidoglycan-N-acetylmuramic acid deacetylase PdaC	pdaC HIR78_06685	A0A6M4JFF8_BACSU			
A0A6M3ZHC6	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00124}.	Thymidine kinase (EC 2.7.1.21)	tdk HIR78_21260	A0A6M3ZHC6_BACSU			
A0A6M3ZC25		Enoyl-[acyl-carrier-protein] reductase FabL (EC 1.3.1.104)	fabL HIR78_04785	A0A6M3ZC25_BACSU			
A0A6M4JKV0		Uncharacterized protein	HIR78_12895	A0A6M4JKV0_BACSU			
A0A6M3ZA28		Poly-gamma-glutamate hydrolase family protein	HIR78_06880	A0A6M3ZA28_BACSU			
A0A6M4JJH5		Uncharacterized protein	HIR78_10520	A0A6M4JJH5_BACSU			
A0A6M4JBV0		Cyclic di-AMP receptor DarA	darA HIR78_00205	A0A6M4JBV0_BACSU			
A0A6M4JNK8		YrzQ family protein	HIR78_16125	A0A6M4JNK8_BACSU			
A0A6M4JNH7		Phosphatase RapE inhibitor PhrE	phrE HIR78_15230	A0A6M4JNH7_BACSU			
A0A6M3ZBV8		Zn(II)-responsive metalloregulatory transcriptional repressor CzrA	czrA HIR78_10420	A0A6M3ZBV8_BACSU			
A0A6M3ZI85		MBL fold metallo-hydrolase	HIR78_23200	A0A6M3ZI85_BACSU			
A0A6M3ZFZ3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU366002}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU366002}.	Na+/H+ antiporter	HIR78_19340	A0A6M3ZFZ3_BACSU		TRANSMEM 46..66;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 78..103;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 109..135;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 156..177;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 183..204;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 239..255;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 276..300;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 312..334;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 355..378;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"; TRANSMEM 390..412;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366002"	
A0A6M4JJU3		Uncharacterized protein	HIR78_12635	A0A6M4JJU3_BACSU			
A0A6M3ZDD6		Cyclic di-GMP receptor DgrA	dgrA HIR78_13730	A0A6M3ZDD6_BACSU			
A0A6M4JM03		Insulinase family protein	HIR78_09100	A0A6M4JM03_BACSU			
A0A6M4JE64	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00969}.	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd HIR78_00335	A0A6M4JE64_BACSU			
A0A6M3ZC98		Uncharacterized protein	HIR78_11275	A0A6M3ZC98_BACSU			
A3F2U1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00130}.	Holliday junction resolvase RecU (EC 3.1.22.4) (Recombination protein U homolog)	recU	A3F2U1_BACSU			
A0A6M4JHK1		Uncharacterized protein	HIR78_11335	A0A6M4JHK1_BACSU			
A0A6M3ZAK6		GapA-binding peptide SR1P	HIR78_08045	A0A6M3ZAK6_BACSU			
A0A6M4JPV2		UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	uglF ywqF HIR78_20815	A0A6M4JPV2_BACSU			
A0A6M3ZGN2		HPr family phosphocarrier protein	HIR78_20035	A0A6M3ZGN2_BACSU			
A0A6M3Z8S4		Thioredoxin-dependent thiol peroxidase (EC 1.11.1.15)	bcp HIR78_04820	A0A6M3Z8S4_BACSU			
A0A6M3Z731	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|RuleBase:RU363032}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Proline/glycine betaine ABC transporter permease	HIR78_01755	A0A6M3Z731_BACSU		TRANSMEM 20..39;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 46..64;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 70..87;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 94..117;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 137..163;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 217..236;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 248..269;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU363032"	
A0A6M3Z8X7		GNAT family N-acetyltransferase	HIR78_05310	A0A6M3Z8X7_BACSU			
A0A6M3Z8P3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	MFS transporter	HIR78_04655	A0A6M3Z8P3_BACSU			
A0A6M4JQ85		Nitrate reductase subunit beta (EC 1.7.99.4)	narH HIR78_21375	A0A6M4JQ85_BACSU			
A0A6M4JR73	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004162}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004162}. Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.	Serine protease HtrC	htrC HIR78_22980	A0A6M4JR73_BACSU			
A0A6M4JK64		Subtilisin (EC 3.4.21.62)	aprE HIR78_05725	A0A6M4JK64_BACSU			
A0A6M3ZKZ5		APC family permease	HIR78_19890	A0A6M3ZKZ5_BACSU			
A0A6M4JNV2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_02207}. Note=Membrane-associated. {ECO:0000256|HAMAP-Rule:MF_02207}.	Cell shape-determining protein MreB	mreB HIR78_16435	A0A6M4JNV2_BACSU			
A0A6M3ZBS1		Protein-arginine kinase activator protein McsA	mcsA HIR78_00565	A0A6M3ZBS1_BACSU			
A0A6M4JE33		DNA-3-methyladenine glycosylase 2 family protein	HIR78_04465	A0A6M4JE33_BACSU			
A0A6M4JJB1		2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase (HK-MTPenyl-1-P phosphatase) (EC 3.1.3.87)	mtnX HIR78_07500	A0A6M4JJB1_BACSU			
A0A6M3ZAB7		Glycosyltransferase	HIR78_07365	A0A6M3ZAB7_BACSU			
A0A6M4JJK6		NAD(P)-dependent oxidoreductase	HIR78_04455	A0A6M4JJK6_BACSU			
A0A6M3ZL31		Phage holin family protein	HIR78_20215	A0A6M3ZL31_BACSU			
A0A6M3ZG20		Histidine kinase (EC 2.7.13.3)	kinB HIR78_18310	A0A6M3ZG20_BACSU			
A0A6M4JHX7	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_00188}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00188}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Protease HtpX homolog (EC 3.4.24.-)	htpX HIR78_07435	A0A6M4JHX7_BACSU		TRANSMEM 5..26;  /note="Helical";  /evidence="ECO:0000256|HAMAP-Rule:MF_00188"; TRANSMEM 46..65;  /note="Helical";  /evidence="ECO:0000256|HAMAP-Rule:MF_00188"; TRANSMEM 170..189;  /note="Helical";  /evidence="ECO:0000256|HAMAP-Rule:MF_00188"; TRANSMEM 201..225;  /note="Helical";  /evidence="ECO:0000256|HAMAP-Rule:MF_00188"	
A0A6M4JLM2		Bacillopeptidase F (EC 3.4.21.-)	HIR78_08390	A0A6M4JLM2_BACSU			
A0A6M4JJZ3		Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC HIR78_08785	A0A6M4JJZ3_BACSU			
A0A6M3ZDM5	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU000408}.	Cold-shock protein	HIR78_13205	A0A6M3ZDM5_BACSU			
A0A6M4JMT0		Blue-light photoreceptor	HIR78_17605	A0A6M4JMT0_BACSU			
A0A6M4JKG1		Uncharacterized protein	HIR78_16135	A0A6M4JKG1_BACSU			
A0A6M3ZGF6		Cytochrome c-551	cccB HIR78_20300	A0A6M3ZGF6_BACSU			
A0A6M4JPT2		LacI family transcriptional regulator	HIR78_20650	A0A6M4JPT2_BACSU			
A0A6M3ZKD9		YwqI/YxiC family protein	HIR78_22415	A0A6M3ZKD9_BACSU			
A0A6M4JDK1		Uncharacterized protein	HIR78_03585	A0A6M4JDK1_BACSU			
A0A6M4JGH9		Uncharacterized protein	HIR78_02490	A0A6M4JGH9_BACSU			
A0A6M3ZAZ4		RicAFT regulatory complex protein RicA	ricA ymcA HIR78_09245	A0A6M3ZAZ4_BACSU			
A0A6M3ZEJ0		DNA mismatch repair protein MutL	mutL HIR78_09260	A0A6M3ZEJ0_BACSU			
A0A6M4JP87		Transcriptional repressor RghR	rghR HIR78_19465	A0A6M4JP87_BACSU			
A0A6M3ZG29		Kinase-associated lipoprotein KapB	kapB HIR78_18315	A0A6M3ZG29_BACSU			
A0A6M4JQL9		ABC transporter ATP-binding protein	HIR78_22090	A0A6M4JQL9_BACSU			
A0A6M4JJJ6		Recombinase family protein	HIR78_09710	A0A6M4JJJ6_BACSU			
A0A6M3Z9M9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	MFS transporter	HIR78_06795	A0A6M3Z9M9_BACSU			
A0A6M3ZH16		Phosphate butyryltransferase (EC 2.3.1.19)	yqiS HIR78_14335	A0A6M3ZH16_BACSU			
A0A6M3ZCE5		Uncharacterized protein	HIR78_12100	A0A6M3ZCE5_BACSU			
A0A6M3ZHX5		Thiol reductant ABC exporter subunit CydD	cydD HIR78_22130	A0A6M3ZHX5_BACSU			
A0A6M3ZDV5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|PIRNR:PIRNR038973}; Multi-pass membrane protein {ECO:0000256|PIRNR:PIRNR038973}. Note=Localizes to the sporulation septum and to the second division site within the mother cell. Before the start of engulfment localizes to the septal midpoint, then spreads throughout the septum prior to becoming enriched at the leading edge of the engulfing membrane, where it remains until the completion of membrane migration. Some remain partially trapped at the septum during engulfment and upon completion of engulfment become dispersed in the outer forespore membrane. Localization of the MPD complex to the septal membrane is dependent on SpoIIB. {ECO:0000256|PIRNR:PIRNR038973}.	Stage II sporulation protein M	spoIIM HIR78_14040	A0A6M3ZDV5_BACSU			
A0A6M4JMK7		Spermidine/spermine N(1)-acetyltransferase (EC 2.3.1.57)	paiA HIR78_18665	A0A6M4JMK7_BACSU			
A0A6M3ZEA7		Glutathione-dependent formaldehyde dehydrogenase	HIR78_15860	A0A6M3ZEA7_BACSU			
A0A6M3ZDU0		Uncharacterized protein	HIR78_13930	A0A6M3ZDU0_BACSU			
A0A6M4JPJ5		Pyrophosphatase PpaX (EC 3.6.1.1)	ppaX HIR78_20150	A0A6M4JPJ5_BACSU			
A0A6M4JGI4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004193}; Lipid-anchor {ECO:0000256|ARBA:ARBA00004193}. Membrane {ECO:0000256|ARBA:ARBA00004635}; Lipid-anchor {ECO:0000256|ARBA:ARBA00004635}.	Foldase protein PrsA (EC 5.2.1.8)	prsA HIR78_05535	A0A6M4JGI4_BACSU			
A0A6M4JIZ9		Sigma-70 family RNA polymerase sigma factor	HIR78_06930	A0A6M4JIZ9_BACSU			
A0A6M4JJH8		Sigma-70 family RNA polymerase sigma factor	HIR78_15435	A0A6M4JJH8_BACSU			
A0A6M3Z9I7		Heme-degrading oxygenase HmoB	hmoB HIR78_05625	A0A6M3Z9I7_BACSU			
A0A6M4JLE2		Ferredoxin	HIR78_13795	A0A6M4JLE2_BACSU			
A0A6M3ZDE2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	YitT family protein	HIR78_13520	A0A6M3ZDE2_BACSU			
A0A6M3ZDQ1		DEAD/DEAH box helicase	HIR78_13375	A0A6M3ZDQ1_BACSU			
A0A6M3ZI09	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Citrate/sodium symporter CitN	citN citH HIR78_22290	A0A6M3ZI09_BACSU			
A0A6M4JPN1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	YitT family protein	HIR78_20305	A0A6M4JPN1_BACSU			
